
Quadro extraído em 13 de Setembro de 2024 (17:31:53)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024 - Cidade);Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) -  Trimestral;
;;Categoria do alojamento familiar;;
;;Total;;
;;? ;? ;
1.º Trimestre de 2024;T: Total;2740;2869;
;11A0016: Porto;2941;3019;
;11A131202: Bonfim;2748;2984;
;11A131203: Campanhã;2456;3056;
;11A131210: Paranhos;2869;2953;
;11A131211: Ramalde;2718;2718;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3956;3955;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3329;3511;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2962;2962;
4.º Trimestre de 2023;T: Total;2667;2790;
;11A0016: Porto;2866;2955;
;11A131202: Bonfim;2669;2984;
;11A131203: Campanhã;2243;2808;
;11A131210: Paranhos;2803;2841;
;11A131211: Ramalde;2651;2636;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3735;3777;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3284;3511;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3084;3178;
3.º Trimestre de 2023;T: Total;2623;2745;
;11A0016: Porto;2798;2891;
;11A131202: Bonfim;2564;2890;
;11A131203: Campanhã;2164;2469;
;11A131210: Paranhos;2727;2772;
;11A131211: Ramalde;2537;2550;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3821;3806;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3227;3453;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3046;3078;
2.º Trimestre de 2023;T: Total;2539;2666;
;11A0016: Porto;2684;2796;
;11A131202: Bonfim;2456;2767;
;11A131203: Campanhã;2029;2296;
;11A131210: Paranhos;2637;2658;
;11A131211: Ramalde;2484;2501;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3720;3750;
