'freguesia','bairro','tipologia','renda','nrelementos'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[20 - 40[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Bonfim','Fernão de Magalhães','2','[40 - 60[','1'
'Bonfim','Fernão de Magalhães','4','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','4'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','4','[20 - 40[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','2','[20 - 40[','1'
'Campanhã','Monte da Bela','2','[60 - 80[','2'
'Campanhã','Lagarteiro','<= 1',' < 20 ','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Lordelo','3','[80 - 100[','5'
'Campanhã','Lagarteiro','2','[60 - 80[','2'
'Campanhã','Lagarteiro','4',' < 20 ','1'
'Campanhã','Lagarteiro','3','[80 - 100[','2'
'Campanhã','Lagarteiro','4',' < 20 ','2'
'Campanhã','Lagarteiro','3',' < 20 ','1'
'Campanhã','Falcão','3','[20 - 40[','1'
'Campanhã','Lagarteiro','3',' < 20 ','2'
'Campanhã','Lagarteiro','4','[80 - 100[','3'
'Campanhã','Falcão','2','[60 - 80[','3'
'Campanhã','Contumil','3',' < 20 ','1'
'Campanhã','Contumil','2',' < 20 ','3'
'Campanhã','Contumil','3','[80 - 100[','3'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','2'
'Campanhã','S. Roque da Lameira','3','[40 - 60[','2'
'Campanhã','S. Roque da Lameira','2','[60 - 80[','2'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','2'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','2'
'Campanhã','S. Roque da Lameira','3',' < 20 ','1'
'Campanhã','S. Roque da Lameira','2','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','2','[60 - 80[','2'
'Campanhã','S. Roque da Lameira','3','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','4',' < 20 ','1'
'Campanhã','S. Roque da Lameira','2','[20 - 40[','1'
'Paranhos','Santa Luzia','3','[200 - 220[','2'
'Paranhos','Santa Luzia','3','[20 - 40[','1'
'Paranhos','Santa Luzia','2','[160 - 180[','2'
'Paranhos','Santa Luzia','2','[160 - 180[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','<= 1','[100 - 120[','2'
'Ramalde','Viso','3','[220 - 240[','3'
'Ramalde','Viso','2','[120 - 140[','2'
'UF Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória','Fontinha','3','[140 - 160[','4'
'Ramalde','Campinas','<= 1','[40 - 60[','1'
'Campanhã','Ilhéu','3','[20 - 40[','4'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2',' < 20 ','1'
'Campanhã','Lagarteiro','4','[80 - 100[','4'
'Campanhã','Ilhéu','2','[20 - 40[','2'
'Ramalde','Viso','2','[40 - 60[','2'
'Ramalde','Viso','3','[60 - 80[','2'
'Ramalde','Viso','2','[20 - 40[','1'
'Ramalde','Viso','2','[80 - 100[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Ramalde','Campinas','2','[60 - 80[','3'
'Ramalde','Viso','3','[80 - 100[','3'
'Ramalde','Viso','2','[20 - 40[','2'
'Ramalde','Viso','2','[60 - 80[','1'
'Bonfim','Duque de Saldanha','<= 1','[20 - 40[','2'
'Ramalde','Viso','2','[40 - 60[','1'
'Ramalde','Viso','3','[20 - 40[','2'
'Ramalde','Viso','2','[40 - 60[','1'
'Ramalde','Viso','3','[80 - 100[','2'
'Bonfim','Fernão de Magalhães','3','[80 - 100[','3'
'Ramalde','Campinas','2','[40 - 60[','2'
'Campanhã','S. Roque da Lameira','<= 1','[20 - 40[','1'
'Paranhos','Carriçal','<= 1','[20 - 40[','1'
'Ramalde','Viso','2','[160 - 180[','4'
'Ramalde','Viso','2','[20 - 40[','1'
'Paranhos','Agra do Amial','2','[20 - 40[','2'
'Paranhos','Regado','<= 1','[60 - 80[','1'
'Ramalde','Viso','2','[160 - 180[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','<= 1','[20 - 40[','1'
'Campanhã','Falcão','3','[140 - 160[','5'
'Campanhã','Lagarteiro','3',' < 20 ','2'
'Ramalde','Viso','2','[160 - 180[','2'
'Paranhos','Outeiro','<= 1','[60 - 80[','2'
'Ramalde','Viso','3','[80 - 100[','3'
'Paranhos','Santa Luzia','3','[240 - 260[','4'
'Ramalde','Viso','2','[20 - 40[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Agr. Hab. da Pasteleira','3','[260 - 280[','2'
'Ramalde','Viso','3','[220 - 240[','3'
'Ramalde','Viso','3','[20 - 40[','1'
'Campanhã','Antas','3','[100 - 120[','2'
'Ramalde','Viso','<= 1','[20 - 40[','1'
