
Quadro extraído em 13 de Setembro de 2024 (17:46:21)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024) (1) ;Valor mediano das vendas por m2 de alojamentos familiares em apartamentos nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Trimestral;Valor mediano das vendas por m2 de alojamentos familiares por Localização geográfica (NUTS - 2024) e Setor institucional do comprador -  Trimestral;;;
;;;Setor institucional do comprador;;;
;;;Total;Famílias;Restantes setores institucionais;
;;? ;? ;? ;? ;
1.º Trimestre de 2024;11A1312: Porto;3019;2941;3059;2554;
;11A131202: Bonfim;2984;x;x;x;
;11A131203: Campanhã;3056;x;x;x;
;11A131210: Paranhos;2953;x;x;x;
;11A131211: Ramalde;2718;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3955;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3511;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2962;x;x;x;
4.º Trimestre de 2023;11A1312: Porto;2955;2833;2897;2704;
;11A131202: Bonfim;2984;x;x;x;
;11A131203: Campanhã;2808;x;x;x;
;11A131210: Paranhos;2841;x;x;x;
;11A131211: Ramalde;2636;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3777;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3511;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3178;x;x;x;
3.º Trimestre de 2023;11A1312: Porto;2891;3104;3164;2926;
;11A131202: Bonfim;2890;x;x;x;
;11A131203: Campanhã;2469;x;x;x;
;11A131210: Paranhos;2772;x;x;x;
;11A131211: Ramalde;2550;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3806;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3453;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3078;x;x;x;
2.º Trimestre de 2023;11A1312: Porto;2796;2857;2924;2803;
;11A131202: Bonfim;2767;x;x;x;
;11A131203: Campanhã;2296;x;x;x;
;11A131210: Paranhos;2658;x;x;x;
;11A131211: Ramalde;2501;x;x;x;
;11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3750;x;x;x;
;11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3384;x;x;x;
;11A131218: União das freguesias de Lordelo do Ouro e Massarelos;3082;x;x;x;
1.º Trimestre de 2023;11A1312: Porto;2708;2652;2726;2321;
;11A131202: Bonfim;2613;x;x;x;
;11A131203: Campanhã;2295;x;x;x;
;11A131210: Paranhos;2570;x;x;x;
;11A131211: Ramalde;2514;x;x;x;
