# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-01-31;4.4;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-02-28;4.25;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-03-31;4.08;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-04-30;4.02;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-05-31;4.03;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-06-30;3.7;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-07-31;3.78;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-08-31;3.61;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-09-30;3.6;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-10-31;3.54;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-11-30;3.52;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2003-12-31;3.47;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-01-31;3.59;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-02-29;3.53;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-03-31;3.5;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-04-30;3.46;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-05-31;3.5;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-06-30;3.5;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-07-31;3.49;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-08-31;3.49;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-09-30;3.49;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-10-31;3.48;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-11-30;3.45;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2004-12-31;3.45;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-01-31;3.42;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-02-28;3.44;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-03-31;3.43;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-04-30;3.39;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-05-31;3.36;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-06-30;3.34;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-07-31;3.3;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-08-31;3.32;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-09-30;3.31;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-10-31;3.3;
12533735;Taxa de juro (TAA) de novos empréstimos à habitação;Taxa acordada anualizada;Percentagem;2005-11-30;3.43;
