Bairro,Periodo,valor_m2_novo,valor_m2_existente,taxa_inflacao_nacional,taxa_juros_emprestimo_nacional,indice_preco_habitacao_alojamento_novo,indice_preco_habitacao_alojamento_existente,taxa_desemprego_16_a_74_anos
Bonfim,2019T4,2574,1705,0.37,1.06,"130,27","151,48",6.9
Campanhã,2019T4,1789,1231,0.37,1.06,"130,27","151,48",6.9
Paranhos,2019T4,1865,1534,0.37,1.06,"130,27","151,48",6.9
Ramalde,2019T4,1759,1592,0.37,1.06,"130,27","151,48",6.9
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",2019T4,3351,2453,0.37,1.06,"130,27","151,48",6.9
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",2019T4,2739,1784,0.37,1.06,"130,27","151,48",6.9
União das freguesias de Lordelo do Ouro e Massarelos,2019T4,3100,2113,0.37,1.06,"130,27","151,48",6.9
Bonfim,2020T1,2591,1705,0.33,1.05,"134,99","157,37",6.8
Campanhã,2020T1,2068,1209,0.33,1.05,"134,99","157,37",6.8
Paranhos,2020T1,1861,1577,0.33,1.05,"134,99","157,37",6.8
Ramalde,2020T1,1643,1667,0.33,1.05,"134,99","157,37",6.8
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",2020T1,3766,2473,0.33,1.05,"134,99","157,37",6.8
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",2020T1,2922,1844,0.33,1.05,"134,99","157,37",6.8
União das freguesias de Lordelo do Ouro e Massarelos,2020T1,3289,2154,0.33,1.05,"134,99","157,37",6.8
Bonfim,2020T2,2507,1691,0.13,1.10,"136,94","160,28",5.7
Campanhã,2020T2,2099,1208,0.13,1.10,"136,94","160,28",5.7
Paranhos,2020T2,1861,1667,0.13,1.10,"136,94","160,28",5.7
Ramalde,2020T2,1708,1701,0.13,1.10,"136,94","160,28",5.7
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",2020T2,4044,2559,0.13,1.10,"136,94","160,28",5.7
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",2020T2,2940,1844,0.13,1.10,"136,94","160,28",5.7
União das freguesias de Lordelo do Ouro e Massarelos,2020T2,3300,2190,0.13,1.10,"136,94","160,28",5.7
Bonfim,2020T3,2550,1692,0.10,1.00,"136,57","159,44",8.0
Campanhã,2020T3,,1250,0.10,1.00,"136,57","159,44",8.0
Paranhos,2020T3,2145,1667,0.10,1.00,"136,57","159,44",8.0
