
Quadro extraído em 28 de Setembro de 2024 (17:45:52)
http://www.ine.pt



Localização geográfica (NUTS - 2024 - Cidade);Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1.º Trimestre de 2024;;;4.º Trimestre de 2023;;;3.º Trimestre de 2023;;;2.º Trimestre de 2023;;;1.º Trimestre de 2023;;;4.º Trimestre de 2022;;;3.º Trimestre de 2022;;;2.º Trimestre de 2022;;;1.º Trimestre de 2022;;;4.º Trimestre de 2021;;;3.º Trimestre de 2021;;;2.º Trimestre de 2021;;;1.º Trimestre de 2021;;;4.º Trimestre de 2020;;;3.º Trimestre de 2020;;;2.º Trimestre de 2020;;;1.º Trimestre de 2020;;;4.º Trimestre de 2019;;;
;Categoria do alojamento familiar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;Total;Novos;Existentes;
;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;
11A0016: Porto;2941;3333;2608;2866;3267;2548;2798;3163;2484;2684;2982;2429;2609;2942;2338;2568;2963;2282;2467;2937;2222;2412;2880;2157;2332;2800;2057;2278;2753;2011;2246;2738;1967;2208;2714;1898;2200;2728;1904;2112;2588;1866;2009;2521;1819;1911;2374;1782;1880;2418;1747;1856;2469;1718;
11A131202: Bonfim;2748;3298;2469;2669;3373;2400;2564;3395;2319;2456;3365;2233;2411;3254;2225;2456;3179;2236;2415;3145;2157;2293;3022;2074;2145;3035;1916;2000;2917;1836;1949;2683;1750;1987;2699;1683;2000;2666;1666;1963;2608;1639;1961;2550;1692;1833;2507;1691;1897;2591;1705;1858;2574;1705;
11A131203: Campanhã;2456;3238;1856;2243;3115;1871;2164;3012;1744;2029;2399;1738;2027;2390;1720;2105;2730;1671;2098;2831;1652;2071;2891;1598;2078;2831;1572;2012;2907;1535;1869;2842;1424;1897;2770;1404;1611;3359;1351;1417;- -;1351;1336;- -;1250;1273;2099;1208;1317;2068;1209;1296;1789;1231;
11A131210: Paranhos;2869;3214;2395;2803;3112;2372;2727;2950;2321;2637;2767;2254;2536;2674;2156;2423;2677;2106;2247;2732;2044;2214;2646;1943;2143;2623;1861;2119;2591;1820;2137;2522;1769;2054;2469;1732;2007;2392;1717;1942;2338;1688;1801;2145;1667;1732;1861;1667;1677;1861;1577;1614;1865;1534;
11A131211: Ramalde;2718;2823;2520;2651;2725;2433;2537;2636;2332;2484;2625;2195;2461;2606;2128;2275;2533;2022;2290;2440;2021;2273;2427;2010;2233;2371;1963;2177;2416;1953;1955;2503;1866;1949;2529;1841;1974;2373;1813;1762;1794;1747;1727;1750;1717;1705;1708;1701;1652;1643;1667;1646;1759;1592;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;3956;4944;3842;3735;4199;3578;3821;4576;3548;3720;4299;3504;3542;4345;3282;3463;4576;3248;3352;4253;3245;3271;4431;3116;3185;4353;3085;3017;4121;2877;2911;4034;2745;2894;3948;2657;2885;3861;2656;2869;3957;2612;2793;4117;2543;2740;4044;2559;2650;3766;2473;2612;3351;2453;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;3329;3835;2831;3284;3764;2813;3227;3664;2806;3118;3571;2769;3058;3544;2603;2967;3462;2447;2830;3368;2375;2732;3306;2379;2633;3208;2214;2577;3195;2193;2566;3228;2137;2504;3068;2000;2484;3076;2026;2461;3038;2057;2294;2940;1872;2181;2940;1844;2168;2922;1844;2051;2739;1784;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;2962;3701;2797;3084;3719;2668;3046;3659;2685;3006;3606;2689;2936;3476;2653;2856;3010;2681;2768;2963;2554;2698;3009;2439;2694;3142;2412;2521;3669;2396;2573;3699;2389;2519;3650;2355;2468;3472;2347;2594;3550;2325;2461;3342;2281;2389;3300;2190;2283;3289;2154;2170;3100;2113;

Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral - INE, Estatisticas de preços da habitação ao nível local


Última atualização destes dados: 16 de julho de 2024


Metainformação associada ao quadro

Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?)
Designação;Valor mediano das vendas por m2 de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024 - Cidade) e Categoria do alojamento familiar -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Estatisticas de preços da habitação ao nível local
Primeiro período disponível;4.º Trimestre de 2019
Último período disponível;1.º Trimestre de 2024
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (NUTS - 2024 - Cidade)
     Dimensão 3;Categoria do alojamento familiar
Conceitos
     ALOJAMENTO;Local distinto e independente que, pelo modo como foi construído, reconstruído, ampliado, transformado ou está a ser utilizado, se destina a habitação com a condição de não estar a ser utilizado totalmente para outros fins no momento de referência: por distinto entende-se que é cercado por paredes de tipo clássico ou de outro tipo, é coberto e permite que uma pessoa ou um grupo de pessoas possa dormir, preparar refeições ou abrigar-se das intempéries separado de outros membros da coletividade; por independente entende-se que os seus ocupantes não têm que atravessar outros alojamentos para entrar ou sair do alojamento onde habitam.
     ALOJAMENTO FAMILIAR;Alojamento que, normalmente, se destina a alojar apenas uma família e não é totalmente utilizado para outros fins no momento de referência.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;&lt - p&gt - Mediana do valor das vendas por m2 de alojamentos familiares nos &uacute - ltimos 12 meses&lt - /p&gt - 
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Data da última atualização;16-Jul-2024
