
Quadro extraído em 28 de Setembro de 2024 (17:42:42)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral;;;;;;;;
;Período de referência dos dados;;;;;;;;
;1.º Semestre de 2024;2.º Semestre de 2023;1.º Semestre de 2023;2.º Semestre de 2022;1.º Semestre de 2022;2.º Semestre de 2021;1.º Semestre de 2021;2.º Semestre de 2020;
;? ;? ;? ;? ;? ;? ;? ;? ;
11A1312: Porto;12,21;11,72;10,78;9,98;9,38;8,85;8,61;8,7;
11A131202: Bonfim;12,22;11,95;11,11;10;9,47;9,1;8,94;9,08;
11A131203: Campanhã;10,49;10,1;9,46;8,71;9,12;8,61;7,65;7,87;
11A131210: Paranhos;11,26;10,98;10,07;9,49;8,76;8,44;8,24;8,17;
11A131211: Ramalde;11,41;10,91;10,23;9,47;8,67;8,18;8,04;8,37;
11A131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde;14,29;13,78;12,66;11,78;10,6;9,53;9,06;9,03;
11A131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;13,32;12,56;11,49;10,58;10;9,4;9,17;9,13;
11A131218: União das freguesias de Lordelo do Ouro e Massarelos;12,93;12,78;11,97;10,56;9,6;9,15;8,91;9,22;

Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral - INE, Estatísticas de Rendas da Habitação ao nível local


Última atualização destes dados: 26 de setembro de 2024


Metainformação associada ao quadro

Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?)
Designação;Valor mediano das rendas por m2 de novos contratos de arrendamento de alojamentos familiares nos últimos 12 meses (?) por Localização geográfica (NUTS - 2024) -  Semestral
Periodicidade;Semestral
Fonte;INE, Estatísticas de Rendas da Habitação ao nível local
Primeiro período disponível;2.º Semestre de 2020
Último período disponível;1.º Semestre de 2024
Dimensões
     Dimensão 1;Período de referência dos dados (Semestre)
     Dimensão 2;Localização geográfica (NUTS - 2024)
Conceitos
     CONTRATO DE ARRENDAMENTO URBANO;Contrato pelo qual uma das partes concede à outra o gozo temporário de um prédio urbano, no todo ou em parte, mediante retribuição.
     ALOJAMENTO;Local distinto e independente que, pelo modo como foi construído, reconstruído, ampliado, transformado ou está a ser utilizado, se destina a habitação com a condição de não estar a ser utilizado totalmente para outros fins no momento de referência: por distinto entende-se que é cercado por paredes de tipo clássico ou de outro tipo, é coberto e permite que uma pessoa ou um grupo de pessoas possa dormir, preparar refeições ou abrigar-se das intempéries separado de outros membros da coletividade; por independente entende-se que os seus ocupantes não têm que atravessar outros alojamentos para entrar ou sair do alojamento onde habitam.
     ÁREA BRUTA PRIVATIVA;Valor correspondente à superfície total medida pelo perímetro exterior e eixos das paredes ou outros elementos separadores do edifício ou da fração, incluindo varandas privativas fechadas, caves e sótãos privativos com utilização idêntica à do edifício ou da fração.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;&lt - p&gt - Mediana do valor da renda por m2 dos novos contratos de arrendamento de alojamentos familiares no per&iacute - odo de refer&ecirc - ncia.&lt - /p&gt - 
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Observações;O Valor mediano das rendas por metro quadrado é apurado com base nos valores inscritos na primeira declaração de novo contrato de arrendamento (Declaração do Modelo 2 do Imposto do Selo - Comunicação de Contratos de Arrendamento), relativos a prédios urbanos, com período de renda mensal, em que a finalidade é habitação permanente e a afetação da respetiva fração no Imposto Municipal sobre Imóveis esteja definida como habitação, com área bruta privativa entre 20 m2 e 600 m2 e valor entre 100 ? e 4 000 ?.
Data da última atualização;26-Sep-2024
