# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2019-08-31;0.6;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2019-09-30;0.5;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2019-10-31;0.4;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2019-11-30;0.4;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2019-12-31;0.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-01-31;0.4;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-02-29;0.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-03-31;0.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-04-30;0.2;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-05-31;0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-06-30;0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-07-31;0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-08-31;0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-09-30;0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-10-31;0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-11-30;0.0;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2020-12-31;0.0;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-01-31;-0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-02-28;0.0;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-03-31;0.0;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-04-30;0.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-05-31;0.2;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-06-30;0.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-07-31;0.4;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-08-31;0.5;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-09-30;0.6;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-10-31;0.8;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-11-30;1.0;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2021-12-31;1.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-01-31;1.5;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-02-28;1.8;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-03-31;2.2;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-04-30;2.8;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-05-31;3.4;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-06-30;4.1;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-07-31;4.7;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-08-31;5.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-09-30;6.0;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-10-31;6.6;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-11-30;7.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2022-12-31;7.8;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-01-31;8.2;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-02-28;8.6;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-03-31;8.7;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-04-30;8.6;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-05-31;8.2;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-06-30;7.8;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-07-31;7.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-08-31;6.8;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-09-30;6.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-10-31;5.7;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-11-30;5.0;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2023-12-31;4.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-01-31;3.8;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-02-29;3.3;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-03-31;2.9;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-04-30;2.6;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-05-31;2.6;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-06-30;2.5;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-07-31;2.5;
5721550;IPC total (taxa de inflação média anual)-TVMM12;Taxa de variação da média móvel de 12 meses;Percentagem;2024-08-31;2.3;
